Connection	matching	Soot(1)	OSA(2)	SPOON(4)	JCG(8)	WALA(16)	JDT(64)	IntersectionID
(55)automata.fsa.FSAStepWithClosureSimulator.stepConfiguration(automata.Configuration)->(1928)java.lang.String.length()	6	X	X	X	X	X	X	95
(55)automata.fsa.FSAStepWithClosureSimulator.stepConfiguration(automata.Configuration)->(1942)java.util.HashSet.add(java.lang.Object)	6	X	X	X	X	X	X	95
(55)automata.fsa.FSAStepWithClosureSimulator.stepConfiguration(automata.Configuration)->(2009)java.util.HashSet.iterator()	3	X			X	X		25
(55)automata.fsa.FSAStepWithClosureSimulator.stepConfiguration(automata.Configuration)->(2206)java.util.ArrayList.<init>()	6	X	X	X	X	X	X	95
(55)automata.fsa.FSAStepWithClosureSimulator.stepConfiguration(automata.Configuration)->(2208)java.lang.String.substring(int)	5	X	X	X	X		X	79
(55)automata.fsa.FSAStepWithClosureSimulator.stepConfiguration(automata.Configuration)->(2209)java.util.ArrayList.add(java.lang.Object)	6	X	X	X	X	X	X	95
(55)automata.fsa.FSAStepWithClosureSimulator.stepConfiguration(automata.Configuration)->(2222)automata.Automaton.getTransitionsFromState(automata.State)	5	X	X	X	X		X	79
(55)automata.fsa.FSAStepWithClosureSimulator.stepConfiguration(automata.Configuration)->(2527)automata.fsa.FSATransition.getLabel()	5	X	X	X	X		X	79
(55)automata.fsa.FSAStepWithClosureSimulator.stepConfiguration(automata.Configuration)->(2536)java.lang.String.indexOf(java.lang.String)	5	X	X	X	X		X	79
(55)automata.fsa.FSAStepWithClosureSimulator.stepConfiguration(automata.Configuration)->(2539)java.lang.String.startsWith(java.lang.String)	5	X	X	X	X		X	79
(55)automata.fsa.FSAStepWithClosureSimulator.stepConfiguration(automata.Configuration)->(2545)automata.fsa.FSAConfiguration.<init>(automata.State,automata.fsa.FSAConfiguration,java.lang.String,java.lang.String)	6	X	X	X	X	X	X	95
(55)automata.fsa.FSAStepWithClosureSimulator.stepConfiguration(automata.Configuration)->(2546)automata.fsa.FSAConfiguration.getUnprocessedInput()	5	X	X	X	X		X	79
